AA,Alcoa Corporation,5224148132,Basic Industries,Aluminum,NYSE
ACH,Aluminum Corporation of China Limited,6325625268,Basic Industries,Aluminum,NYSE
AEM,Agnico Eagle Mines Limited,10226401950,Basic Industries,Precious Metals,NYSE
AES,The AES Corporation,11976266146,Basic Industries,Electric Utilities: Central,NYSE
AG,First Majestic Silver Corp.,1293799383,Basic Industries,Precious Metals,NYSE
AGI,Alamos Gold Inc.,1976497982,Basic Industries,Precious Metals,NYSE
AGX,"Argan, Inc.",777757414.1,Basic Industries,Engineering & Construction,NYSE
AIN,Albany International Corporation,2080389793,Basic Industries,Textiles,NYSE
AKS,AK Steel Holding Corporation,869848460.3,Basic Industries,Steel/Iron Ore,NYSE
ALB,Albemarle Corporation,8680526820,Basic Industries,Major Chemicals,NYSE
AMRC,"Ameresco, Inc.",749142187.1,Basic Industries,Engineering & Construction,NYSE
APD,"Air Products and Chemicals, Inc.",41940768414,Basic Industries,Major Chemicals,NYSE
ASIX,AdvanSix Inc.,829286105.1,Basic Industries,Major Chemicals,NYSE
ATI,Allegheny Technologies Incorporated,3224621117,Basic Industries,Steel/Iron Ore,NYSE
AU,AngloGold Ashanti Limited,5407469562,Basic Industries,Precious Metals,NYSE
AUY,Yamana Gold Inc.,2478774611,Basic Industries,Precious Metals,NYSE
AVD,American Vanguard Corporation,511268980.7,Basic Industries,Agricultural Chemicals,NYSE
AXTA,Axalta Coating Systems Ltd.,5920243089,Basic Industries,Paints/Coatings,NYSE
BAK,Braskem S.A.,10272921809,Basic Industries,Major Chemicals,NYSE
BBU,Brookfield Business Partners L.P.,2618641098,Basic Industries,Engineering & Construction,NYSE
BDC,Belden Inc,2115748424,Basic Industries,Telecommunications Equipment,NYSE
BHP,BHP Group Limited,1.38233E+11,Basic Industries,Precious Metals,NYSE
BLD,TopBuild Corp.,2253492709,Basic Industries,Engineering & Construction,NYSE
BVN,Buenaventura Mining Company Inc.,4388893062,Basic Industries,Precious Metals,NYSE
CBT,Cabot Corporation,2477822096,Basic Industries,Major Chemicals,NYSE
CC,Chemours Company (The),6179056511,Basic Industries,Major Chemicals,NYSE
CCJ,Cameco Corporation,4666396310,Basic Industries,Precious Metals,NYSE
CDE,"Coeur Mining, Inc.",829486623.6,Basic Industries,Precious Metals,NYSE
CE,Celanese Corporation,12606620910,Basic Industries,Major Chemicals,NYSE
CF,"CF Industries Holdings, Inc.",9111765970,Basic Industries,Agricultural Chemicals,NYSE
CGA,"China Green Agriculture, Inc.",19267271.6,Basic Industries,Agricultural Chemicals,NYSE
CHD,"Church & Dwight Company, Inc.",17517800823,Basic Industries,Package Goods/Cosmetics,NYSE
CHRA,"Charah Solutions, Inc.",186131123.2,Basic Industries,Environmental Services,NYSE
CINR,Ciner Resources LP,503084789.5,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
CLF,Cleveland-Cliffs Inc.,2902780664,Basic Industries,Precious Metals,NYSE
CLH,"Clean Harbors, Inc.",3995318307,Basic Industries,Environmental Services,NYSE
CLW,Clearwater Paper Corporation,321715238.9,Basic Industries,Paper,NYSE
CMC,Commercial Metals Company,2014091876,Basic Industries,Steel/Iron Ore,NYSE
CMP,"Compass Minerals International, Inc.",1841720463,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
CRS,Carpenter Technology Corporation,2172382124,Basic Industries,Steel/Iron Ore,NYSE
CSL,Carlisle Companies Incorporated,7013733042,Basic Industries,Specialty Chemicals,NYSE
CSTM,Constellium N.V.,1085275164,Basic Industries,Metal Fabrications,NYSE
CULP,"Culp, Inc.",237844582,Basic Industries,Textiles,NYSE
CVA,Covanta Holding Corporation,2268645450,Basic Industries,Electric Utilities: Central,NYSE
CVIA,Covia Holdings Corporation,734635849.1,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
DOOR,Masonite International Corporation,1275202768,Basic Industries,Forest Products,NYSE
DRD,DRDGOLD Limited,136726669.3,Basic Industries,Precious Metals,NYSE
DWDP,DowDuPont Inc.,1.20201E+11,Basic Industries,Major Chemicals,NYSE
DY,"Dycom Industries, Inc.",1444400643,Basic Industries,Water Supply,NYSE
ECL,Ecolab Inc.,50908236563,Basic Industries,Package Goods/Cosmetics,NYSE
EGO,Eldorado Gold Corporation,735251972.9,Basic Industries,Precious Metals,NYSE
EMES,Emerge Energy Services LP,60210037.88,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
EMN,Eastman Chemical Company,10531072878,Basic Industries,Major Chemicals,NYSE
ESI,Element Solutions Inc.,2549195641,Basic Industries,Major Chemicals,NYSE
EVA,"Enviva Partners, LP",856968897.8,Basic Industries,Forest Products,NYSE
EXK,Endeavour Silver Corporation,331168882,Basic Industries,Precious Metals,NYSE
FBHS,"Fortune Brands Home & Security, Inc.",6707023519,Basic Industries,Homebuilding,NYSE
FCX,"Freeport-McMoran, Inc.",18678369028,Basic Industries,Precious Metals,NYSE
FF,FutureFuel Corp.,586159456.2,Basic Industries,Major Chemicals,NYSE
FLR,Fluor Corporation,5137580730,Basic Industries,Military/Government/Technical,NYSE
FMC,FMC Corporation,10110148761,Basic Industries,Major Chemicals,NYSE
FNV,Franco-Nevada Corporation,14040340566,Basic Industries,Precious Metals,NYSE
FOE,Ferro Corporation,1555973385,Basic Industries,Paints/Coatings,NYSE
FSM,Fortuna Silver Mines Inc.,535797643.3,Basic Industries,Precious Metals,NYSE
FTK,"Flotek Industries, Inc.",185814048.6,Basic Industries,Major Chemicals,NYSE
FUL,H. B. Fuller Company,2473657533,Basic Industries,Home Furnishings,NYSE
GCP,GCP Applied Technologies Inc.,2145965190,Basic Industries,Major Chemicals,NYSE
GFI,Gold Fields Limited,3090799997,Basic Industries,Precious Metals,NYSE
GG,Goldcorp Inc.,9937566988,Basic Industries,Precious Metals,NYSE
GLT,Glatfelter,621481252.4,Basic Industries,Paper,NYSE
GLW,Corning Incorporated,25990740129,Basic Industries,Telecommunications Equipment,NYSE
GOLD,Barrick Gold Corporation,24019670464,Basic Industries,Precious Metals,NYSE
GRA,W.R. Grace & Co.,5217578264,Basic Industries,Major Chemicals,NYSE
GRAM,Grana y Montero S.A.A.,510603800,Basic Industries,Military/Government/Technical,NYSE
GVA,Granite Construction Incorporated,2014475614,Basic Industries,Military/Government/Technical,NYSE
HBM,Hudbay Minerals Inc.,1865483158,Basic Industries,Precious Metals,NYSE
HCLP,Hi-Crush Partners LP,449727675.6,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
HL,Hecla Mining Company,1110871830,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
HMY,Harmony Gold Mining Company Limited,1011156206,Basic Industries,Precious Metals,NYSE
HUN,Huntsman Corporation,5251929954,Basic Industries,Major Chemicals,NYSE
HXL,Hexcel Corporation,5869508503,Basic Industries,Major Chemicals,NYSE
IAG,Iamgold Corporation,1623856653,Basic Industries,Precious Metals,NYSE
IBP,"Installed Building Products, Inc.",1450907134,Basic Industries,Homebuilding,NYSE
ICL,Israel Chemicals Shs,6708778010,Basic Industries,Agricultural Chemicals,NYSE
IFF,"International Flavors & Fragrances, Inc.",13733491642,Basic Industries,Major Chemicals,NYSE
IP,International Paper Company,18518925226,Basic Industries,Paper,NYSE
IPI,"Intrepid Potash, Inc",495886681.3,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
JEC,Jacobs Engineering Group Inc.,10490272177,Basic Industries,Military/Government/Technical,NYSE
JELD,"JELD-WEN Holding, Inc.",1781102549,Basic Industries,Forest Products,NYSE
KBR,"KBR, Inc.",2691897241,Basic Industries,Military/Government/Technical,NYSE
KGC,Kinross Gold Corporation,4307643738,Basic Industries,Precious Metals,NYSE
KL,Kirkland Lake Gold Ltd.,6379619173,Basic Industries,Precious Metals,NYSE
KOP,Koppers Holdings Inc.,533856369.1,Basic Industries,Forest Products,NYSE
KRA,Kraton Corporation,1027307852,Basic Industries,Major Chemicals,NYSE
KRO,Kronos Worldwide Inc,1625025926,Basic Industries,Major Chemicals,NYSE
KWR,Quaker Chemical Corporation,2671921608,Basic Industries,Major Chemicals,NYSE
LAC,Lithium Americas Corp.,335421652.9,Basic Industries,Precious Metals,NYSE
LEN,Lennar Corporation,15890152843,Basic Industries,Homebuilding,NYSE
LIN,Linde plc,95866038291,Basic Industries,Major Chemicals,NYSE
LPX,Louisiana-Pacific Corporation,3009354784,Basic Industries,Forest Products,NYSE
LTHM,Livent Corporation,1792880000,Basic Industries,Major Chemicals,NYSE
LXFR,Luxfer Holdings PLC,674472440,Basic Industries,Major Chemicals,NYSE
LXU,Lsb Industries Inc.,179387276.6,Basic Industries,Major Chemicals,NYSE
LYB,LyondellBasell Industries NV,31206880392,Basic Industries,Major Chemicals,NYSE
MAS,Masco Corporation,11576500175,Basic Industries,Forest Products,NYSE
MDU,"MDU Resources Group, Inc.",5077272684,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
